X_Scale,Y_Scale,H_Ell_Scale,NS,CMI_na,Weird_Depth_na,CMI_Depth,CMI_FileNum,CMI_SurfElev,CMI_Thickness,DICE_FileNum,DICE_IceBase,DICE_SurfElev,DICE_Thickness,H_Ell,SIR_IceBase,SIR_SurfElev_clean,SIR_Thickness,SurfHell_Edit_lidar_edit,The_Weird,Weird_Depth,Weird_FileNum,Weird_SurfElev,X_EPSG_3031,Y_EPSG_3031,
-8.575973672,-131.0237316,9.00288,9,-9999,-9999,,,,,,,,,903.813,,,,,,,,,,-85759.73672,-1310237.316
-8.566830487,-131.0236928,9.00735,9,-9999,-9999,,,,,,,,,903.549,,,,,,,,,,-85668.30487,-1310236.928
-8.557688495,-131.0236641,9.01129,9,-9999,-9999,,,,,,,,,903.367,,,,,,,,,,-85576.88495,-1310236.641
-8.548545394,-131.0236368,9.01556,9,-9999,-9999,,,,,,,,,903.28,,,,,,,,,,-85485.45394,-1310236.368
-8.539400513,-131.0236088,9.01911,9,-9999,-9999,,,,,,,,,903.154,,,,,,,,,,-85394.00513,-1310236.088
-8.53025933,-131.0235861,9.02186,9,-9999,-9999,,,,,,,,,903.237,,,,,,,,,,-85302.5933,-1310235.861
-8.521122794,-131.0235693,9.02459,9,-9999,-9999,,,,,,,,,903.442,,,,,,,,,,-85211.22794,-1310235.693
-8.51198975,-131.023567,9.02696,9,-9999,-9999,,,,,,,,,903.671,,,,,,,,,,-85119.8975,-1310235.67
-8.502861104,-131.0235786,9.02882,9,-9999,-9999,,,,,,,,,903.724,,,,,,,,,,-85028.61104,-1310235.786
-8.493731344,-131.0236126,9.0301,9,-9999,-9999,,,,,,,,,903.536,,,,,,,,,,-84937.31344,-1310236.126
-8.484601326,-131.0236585,9.0309,9,-9999,-9999,,,,,,,,,903.379,,,,,,,,,,-84846.01326,-1310236.585
-8.475465665,-131.0236804,9.03061,9,-9999,-9999,,,,,,,,,902.961,,,,,,,,,,-84754.65665,-1310236.804
-8.466318924,-131.023679,9.02915,9,-9999,-9999,,,,,,,,,902.172,,,,,,,,,,-84663.18924,-1310236.79
-8.457168056,-131.0236671,9.02724,9,-9999,-9999,,,,,,,,,901.51,,,,,,,,,,-84571.68056,-1310236.671
-8.448015557,-131.0236692,9.02532,9,-9999,-9999,,,,,,,,,900.952,,,,,,,,,,-84480.15557,-1310236.692
-8.438857973,-131.0236816,9.02267,9,-9999,-9999,,,,,,,,,900.163,,,,,,,,,,-84388.57973,-1310236.816
-8.42969147,-131.023676,9.0194,9,-9999,-9999,,,,,,,,,899.379,,,,,,,,,,-84296.9147,-1310236.76
-8.420521145,-131.0236524,9.01635,9,-9999,-9999,,,,,,,,,898.728,,,,,,,,,,-84205.21145,-1310236.524
-8.411348759,-131.0236185,9.014,9,-9999,-9999,,,,,,,,,898.187,,,,,,,,,,-84113.48759,-1310236.185
-8.402175962,-131.0235794,9.01251,9,-9999,-9999,,,,,,,,,897.686,,,,,,,,,,-84021.75962,-1310235.794
-8.392998154,-131.0235296,9.01058,9,-9999,-9999,,,,,,,,,896.973,,,,,,,,,,-83929.98154,-1310235.296
-8.383820555,-131.0234702,9.008,9,-9999,-9999,,,,,,,,,896.568,,,,,,,,,,-83838.20555,-1310234.702
-8.37464469,-131.0234107,9.00527,9,-9999,-9999,,,,,,,,,896.49,,,,,,,,,,-83746.4469,-1310234.107
-8.365468671,-131.0233543,9.00285,9,-9999,-9999,,,,,,,,,896.288,,,,,,,,,,-83654.68671,-1310233.543
-8.35629767,-131.0233065,9.00056,9,-9999,-9999,,,,,,,,,896.198,,,,,,,,,,-83562.9767,-1310233.065
-8.347136864,-131.0232613,8.99901,9,-9999,-9999,,,,,,,,,896.413,,,,,,,,,,-83471.36864,-1310232.613
-8.337983496,-131.0232134,8.99798,9,-9999,-9999,,,,,,,,,896.742,,,,,,,,,,-83379.83496,-1310232.134
-8.328837365,-131.0231604,8.99635,9,-9999,-9999,,,,,,,,,896.987,,,,,,,,,,-83288.37365,-1310231.604
-8.319696633,-131.0231052,8.99399,9,-9999,-9999,,,,,,,,,897.133,,,,,,,,,,-83196.96633,-1310231.052
-8.310563587,-131.0230498,8.99158,9,-9999,-9999,,,,,,,,,897.504,,,,,,,,,,-83105.63587,-1310230.498
-8.301442881,-131.0229952,8.99049,9,-9999,-9999,,,,,,,,,898.077,,,,,,,,,,-83014.42881,-1310229.952
-8.292330994,-131.0229365,8.98917,9,-9999,-9999,,,,,,,,,898.35,,,,,,,,,,-82923.30994,-1310229.365
-8.283227932,-131.0228677,8.98737,9,-9999,-9999,,,,,,,,,898.373,,,,,,,,,,-82832.27932,-1310228.677
-8.274137517,-131.0227894,8.98616,9,-9999,-9999,,,,,,,,,898.48,,,,,,,,,,-82741.37517,-1310227.894
-8.265058858,-131.0227076,8.98522,9,-9999,-9999,,,,,,,,,898.673,,,,,,,,,,-82650.58858,-1310227.076
-8.2559885,-131.0226277,8.98419,9,-9999,-9999,,,,,,,,,898.704,,,,,,,,,,-82559.885,-1310226.277
-8.246923879,-131.0225474,8.98336,9,-9999,-9999,,,,,,,,,898.438,,,,,,,,,,-82469.23879,-1310225.474
-8.237866703,-131.0224662,8.9833,9,-9999,-9999,,,,,,,,,898.062,,,,,,,,,,-82378.66703,-1310224.662
