Line,UTCDate,UTCsod,UTCTime,unixTime,Latitude,Longitude,H_Ell,Pitch,Roll,Heading,X_EPSG_3031,Y_EPSG_3031,X,Y,Dist_meters,Dist_km,unix_sec,StartEnd
L490,2015/11/24,83114,23:05:14,1448406314,-79.9351799688,-148.056096923,1278.994,5.165189,-26.098611,51.116922,-580026.398193189,-930261.743172901,-58.0026398193189,-93.0261743172901,901245.170908172,901.245170908172,1448406314,1
L500,2017/11/22,4978.655,01:22:59,1511313778.655,-79.8681751452,-148.309717166,889.558,4.5406208078,13.6043535234,-120.205263954,-579756.08049264,-939061.282048726,-57.975608049264,-93.9061282048726,0,0,1511313778,1
L500,2017/11/22,14518,04:01:58,1511323318,-80.8729828021,161.1033102107,1018.929,3.0543635213,18.2220918853,-52.2045457118,321819.26977379,-940134.4038612,32.181926977379,-94.01344038612,901575.988920768,901.575988920768,1511323318,1
L510,2015/11/24,83370.95,23:09:31,1448406570.95,-79.7625710332,-148.443957211,1290.837,4.285855,-4.550276,-121.043611,-583604.893332787,-950269.000836307,-58.3604893332787,-95.0269000836307,0,0,1448406570,1
L510,2015/11/25,6435,01:47:15,1448416035,-80.7272153218,160.7690611398,973.05,4.457523,-0.763898,-18.215787,332547.342629245,-953288.125362724,33.2547342629245,-95.3288125362724,916157.210620064,916.157210620064,1448416035,1
L520,2017/11/21,81443.88,22:37:24,1511303843.88,-80.6680791097,160.7210953855,954.451,3.1977534272,-5.1582350547,105.5382476024,335480.176730648,-959112.904153146,33.5480176730648,-95.9112904153146,0,0,1511303843,1
L520,2017/11/22,4705,01:18:25,1511313505,-79.730491975,-149.124221395,900.711,3.9796445238,20.1572453792,65.276474264,-574084.10970948,-960145.540529579,-57.408410970948,-96.0145540529579,909564.872620544,909.564872620544,1511313505,1
L530,2015/12/03,33512.635,09:18:33,1449134312.635,-79.6518050335,-149.378973465,688.623,2.506286,0.819515,-117.422766,-574198.164497802,-970103.37043273,-57.4198164497802,-97.010337043273,0,0,1449134312,1
L530,2015/12/03,42876,11:54:36,1449143676,-80.554283007,160.7468559202,811.802,5.482573,11.696959,-35.590845,339152.315238754,-971011.889957067,33.9152315238754,-97.1011889957067,913350.931593505,913.350931593505,1449143676,1
L540,2015/11/13,2914.605,00:48:35,1447375714.605,-79.5463228585,-149.421873773,947.526,4.007763,-3.339505,-118.498103,-579348.296998675,-980478.583170094,-57.9348296998675,-98.0478583170094,0,0,1447375714,1
L540,2015/11/13,12150,03:22:30,1447384950,-80.5049766074,161.5103819095,896.969,5.613725,19.542379,-38.954086,327892.990349781,-980559.280586117,32.7892990349781,-98.0559280586117,907241.290937398,907.241290937398,1447384950,1
L550,2015/12/03,23333.56,06:28:54,1449124133.56,-80.2691594692,159.3244558412,655.95,5.359573,-7.535898,115.114166,374163.157467185,-991473.725105049,37.4163157467185,-99.1473725105049,0,0,1449124133,1
L550,2015/12/03,33245,09:14:05,1449134045,-79.4822364396,-149.739538986,698.289,2.453607,8.158214,70.517107,-577440.657388797,-989738.558559991,-57.7440657388797,-98.9738558559991,951605.396817083,951.605396817083,1449134045,1
L560,2015/11/12,78676.21,21:51:16,1447365076.21,-80.2453800687,160.1061220633,817.386,4.3619,-0.204027,79.355399,361487.734066867,-998932.321366508,36.1487734066867,-99.8932321366508,0,0,1447365076,1
L560,2015/11/13,2446,00:40:46,1447375246,-79.4355491584,-150.365413184,818.765,3.803901,22.873617,75.524614,-569123.709125494,-1000432.27010254,-56.9123709125494,-100.043227010254,930612.651991567,930.612651991567,1447375246,1
L560.1,2017/11/10,43475.58,12:04:36,1510315475.58,-79.5247612585,-151.444760461,709.385,4.6903795112,5.716917058,-137.419301843,-545506.480297043,-1002392.10288934,-54.5506480297043,-100.239210288934,0,0,1510315475,1
L560.1,2017/11/10,46584,12:56:24,1510318584,-80.5108613913,-165.509532449,881.858,5.683873108,11.1142811466,-77.9296803526,-258547.69567824,-1000416.35884058,-25.854769567824,-100.041635884058,286965.586150058,286.965586150058,1510318584,1
L570,2016/11/25,5577.65,01:32:58,1480037577.65,-79.4243190115,-151.375508494,1098.634,4.493,-2.745997,-136.635091,-551988.424263577,-1011389.49446101,-55.1988424263577,-101.138949446101,0,0,1480037577,1
L570,2016/11/25,15324,04:15:24,1480047324,-80.1453748327,160.3839889686,1007.364,8.158698,-2.382895,-47.951447,360312.558273919,-1010981.14106003,36.0312558273919,-101.098114106003,912301.073928658,912.301073928658,1480047324,1
L580,2017/11/10,33276.805,09:14:37,1510305276.805,-80.0947117164,161.0732447323,740.168,5.1320261148,-16.6094603335,179.9526100547,349923.190221462,-1020486.75797826,34.9923190221462,-102.048675797826,0,0,1510305276,1
L580,2017/11/10,43270,12:01:10,1510315270,-79.3887396308,-151.759832873,714.189,3.9312066718,4.0861688371,99.033342736,-547036.192126953,-1018503.04564044,-54.7036192126953,-101.850304564044,896961.575931483,896.961575931483,1510315270,1
L590,2016/11/24,82463.92,22:54:24,1480028063.92,-80.0018649369,161.0178165349,899.592,5.696017,-2.063075,99.811768,354215.497737109,-1029756.60548185,35.4215497737109,-102.975660548185,0,0,1480028063,1
L590,2016/11/25,5353,01:29:13,1480037353,-79.2618199859,-151.699468264,1103.007,4.134012,22.325666,87.160872,-554701.564924026,-1030169.69868254,-55.4701564924026,-103.016969868254,908917.156534377,908.917156534377,1480037353,1
L600,2015/12/07,17936.09,04:58:56,1449464336.09,-79.8252230909,159.0942443968,1121.735,6.42451,-0.433871,73.764416,395480.786968816,-1035349.71558406,39.5480786968816,-103.534971558406,0,0,1449464336,1
L600,2015/12/07,27952,07:45:52,1449474352,-79.1807235861,-151.988551023,743.234,4.130125,-16.087352,37.182417,-553670.431418676,-1040800.85313003,-55.3670431418676,-104.080085313003,949166.87166536,949.16687166536,1449474352,1
L610,2016/12/01,85493.31,23:44:53,1480635893.31,-79.7302810417,159.9124906665,861.536,5.568612,-1.885474,118.184701,384225.215105931,-1050654.40699102,38.4225215105931,-105.065440699102,0,0,1480635893,1
L610,2016/12/02,8759,02:25:59,1480645559,-79.1489440953,-152.670173139,735.258,3.885152,-14.525826,62.639396,-542848.566696254,-1050407.79512886,-54.2848566696254,-105.040779512886,927073.814602923,927.073814602923,1480645559,1
L620,2017/11/06,79717.605,22:08:38,1510006117.605,-79.1296231812,-153.37315896,1169.995,4.2939545729,-0.3933023559,-107.562666729,-530869.1439198,-1058881.90414285,-53.08691439198,-105.888190414285,0,0,1510006117,1
L620,2017/11/07,3570,00:59:30,1510016370,-79.6391876222,159.9440316699,976.091,4.2103001434,21.0200969004,-42.7079765224,387067.554846287,-1060235.78085362,38.7067554846287,-106.023578085362,917937.69719068,917.93769719068,1510016370,1
L630,2015/12/07,28311.955,07:51:52,1449474711.955,-78.9530712806,-152.621114272,744.714,4.014255,1.213918,-112.208532,-553621.090137863,-1069007.36476497,-55.3621090137863,-106.900736476497,0,0,1449474711,1
L630,2015/12/07,37768,10:29:28,1449484168,-79.5706850423,160.3843595047,1129.898,2.754576,-17.397244,-79.074741,381426.626517893,-1070245.82797701,38.1426626517893,-107.024582797701,935048.536822699,935.048536822699,1449484168,1
L640,2017/11/06,69813.745,19:23:34,1509996213.745,-79.4872929999,160.2252125519,1327.219,6.735357383,-16.928212259,101.8901828573,387488.079068652,-1077777.38364979,38.7488079068652,-107.777738364979,0,0,1509996213,1
L640,2017/11/06,79458,22:04:18,1510005858,-78.9701802065,-153.920175844,1316.069,4.556131739,21.6317178875,103.9312380703,-528418.826152943,-1079599.11230208,-52.8418826152943,-107.959911230208,915908.716918822,915.908716918822,1510005858,1
L650,2015/11/11,79861.215,22:11:01,1447279861.215,-79.3819209238,160.5035848617,830.301,4.654371,-24.284214,179.62663,386099.542384089,-1090528.31081063,38.6099542384089,-109.052831081063,0,0,1447279861,1
L650,2015/11/12,3540,00:59:00,1447289940,-78.8307932688,-153.703006967,1165.129,3.802755,-4.651639,27.173578,-539277.320878018,-1091288.92647911,-53.9277320878018,-109.128892647911,925377.175856965,925.377175856965,1447289940,1
L650.1,2016/11/22,84269.125,23:24:29,1479857069.125,-79.3904148021,160.6675493967,734.617,5.966109,-22.930874,136.344177,382669.129153297,-1090750.69842795,38.2669129153297,-109.075069842795,0,0,1479857069,1
L650.1,2016/11/23,8101,02:15:01,1479867301,-78.8775147941,-154.123911425,1150.647,7.14633,-24.250859,15.850389,-529010.325640599,-1090611.88134464,-52.9010325640599,-109.061188134464,911679.465362403,911.679465362403,1479867301,1
L660,2015/11/19,82843.01,23:00:43,1447974043.01,-78.7298876227,-153.57424007,1113.662,5.777689,3.654182,-108.044569,-546652.947615898,-1099983.18958468,-54.6652947615898,-109.998318958468,0,0,1447974043,1
